arraySize,HybridSort,InsertionSort,MergeSort,QuickSort,SelectionSort,TimSort
10000,4149881,70385880,4768381,1385868,73681557,5050706
20000,2863247,339326174,9914609,3104089,306567970,9008351
30000,4687900,860098363,22158945,5170030,729188748,19183101
40000,6668260,1736558935,41672477,7557281,1351369156,33387986
50000,8977182,2883824663,66651096,10192788,2172529504,51823766
60000,10950964,4547634673,101937122,13233944,3200318016,74276072
70000,13146710,6455903044,142177134,16224810,4433345067,100852482
80000,15642381,9306114254,201421619,19952454,6066619322,135757458
90000,17997197,12432953456,266334016,23507728,7766112675,171967000
100000,19896155,16253456196,345466159,27562241,9991148786,218425860
